Year,Round,Race Name,Circuit,Country,Driver Name,Lap,Stop Number,Duration (s)
2011,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Australia,Jaime Alguersuari,1,1,26.898
2011,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Australia,Michael Schumacher,1,1,25.021
2011,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Australia,Mark Webber,11,1,23.426
2011,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Australia,Fernando Alonso,12,1,23.251
2011,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Australia,Felipe Massa,13,1,23.842
2011,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Australia,Rubens Barrichello,13,1,23.643
2011,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Australia,Sebastian Vettel,14,1,22.603
2011,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Australia,Paul di Resta,14,1,24.863
2011,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Australia,Jérôme d'Ambrosio,14,1,25.259
2011,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Australia,Sébastien Buemi,15,1,25.342
2011,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Australia,Nick Heidfeld,15,1,22.994
2011,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Australia,Lewis Hamilton,16,1,23.227
2011,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Australia,Vitaly Petrov,16,1,24.535
2011,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Australia,Nico Rosberg,16,1,23.716
2011,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Australia,Kamui Kobayashi,16,1,24.064
2011,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Australia,Adrian Sutil,16,1,25.978
2011,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Australia,Jarno Trulli,16,1,24.899
2011,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Australia,Jenson Button,17,1,16.867
2011,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Australia,Jaime Alguersuari,17,2,24.463
2011,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Australia,Heikki Kovalainen,17,1,24.865
2011,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Australia,Michael Schumacher,17,2,23.988
2011,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Australia,Timo Glock,18,1,23.792
2011,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Australia,Jenson Button,19,2,23.303
2011,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Australia,Sergio Pérez,23,1,23.438
2011,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Australia,Rubens Barrichello,23,2,37.856
2011,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Australia,Mark Webber,26,2,22.52
2011,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Australia,Fernando Alonso,27,2,24.733
